Time,Horizon,Vectical
0.01,62.080001,9.63
0.01,37.570001,12.650001
0.01,13.05,11.88
0.01,-11.74,10
0.01,-35.660001,5.940001
0.01,61.869998,9.63
0.01,37.370001,12.66
0.01,12.84,11.889999
0.01,-11.950001,10.03
0.01,-35.879998,5.99
0.01,61.680001,9.6
0.01,37.159998,12.650001
0.01,12.63,11.9
0.01,-12.159999,10.069999
0.01,-36.089998,6.030001
0.01,61.470003,9.58
0.01,36.949997,12.64
0.01,12.42,11.929999
0.01,-12.370001,10.079999
0.01,-36.299999,6.05
0.01,61.259995,9.55
0.01,36.740002,12.619999
0.01,12.219998,11.94
0.01,-12.579999,10.11
0.01,-36.519998,6.09
0.01,61.050001,9.52
0.01,36.539997,12.610001
0.01,12.009999,11.929998
0.01,-12.79,10.119999
0.01,-36.730001,6.109999
0.01,60.839998,9.49
0.01,36.329998,12.579999
0.01,11.799999,11.919999
0.01,-12.999999,10.14
0.01,-36.939999,6.149999
0.01,60.63,9.469998
0.01,36.119998,12.57
0.01,11.6,11.96
0.01,-13.21,10.169999
0.01,-37.15,6.17
0.01,60.420002,9.45
0.01,35.909999,12.560001
0.01,11.41,11.950001
0.01,-13.420001,10.180001
0.01,-37.370001,6.209999
0.01,60.210003,9.41
0.01,35.719998,12.539999
0.01,11.18,11.959999
0.01,-13.629999,10.209999
0.01,-37.579997,6.23
0.01,60,9.39
0.01,35.509999,12.510001
0.01,10.98,11.949999
0.01,-13.829999,10.220001
0.01,-37.790003,6.26
0.01,59.790002,9.350001
0.01,35.310002,12.49
0.01,10.789999,11.96
0.01,-14.04,10.230002
0.01,-37.999996,6.29
0.01,59.589999,9.319999
0.01,35.099996,12.46
0.01,10.579999,11.98
0.01,-14.250002,10.250001
0.01,-38.219997,6.32
0.01,59.379996,9.3
0.01,34.89,12.45
0.01,10.379999,11.970001
0.01,-14.459999,10.249999
0.01,-38.429998,6.34
0.01,59.169998,9.27
0.01,34.68,12.43
0.01,10.149999,11.98
0.01,-14.669999,10.289999
0.01,-38.66,6.38
0.01,58.959995,9.250001
0.01,34.470001,12.399999
0.01,9.94,11.98
0.01,-14.879999,10.299999
0.01,-38.849997,6.41
0.01,58.750001,9.2
0.01,34.260001,12.38
0.01,9.739999,11.969998
0.01,-15.090001,10.31
0.01,-39.079999,6.43
0.01,58.539993,9.169999
0.01,34.059998,12.35
0.01,9.53,11.98
0.01,-15.299999,10.319999
0.01,-39.29,6.460001
0.01,58.329995,9.16
0.01,33.849997,12.350001
0.01,9.319999,11.999999
0.01,-15.500001,10.35
0.01,-39.510001,6.48
0.01,58.119997,9.12
0.01,33.639999,12.320001
0.01,9.13,11.990001
0.01,-15.710002,10.359999
0.01,-39.720002,6.509999
0.01,57.909999,9.09
0.01,33.429998,12.259999
0.01,8.91,11.980001
0.01,-15.919999,10.37
0.01,-39.930002,6.54
0.01,57.699996,9.05
0.01,33.239999,12.28
0.01,8.719999,11.98
0.01,-16.130001,10.379999
0.01,-40.139998,6.56
0.01,57.490002,9.03
0.01,33.010004,12.250001
0.01,8.51,11.990001
0.01,-16.339999,10.389999
0.01,-40.349999,6.58
0.01,57.29,9
0.01,32.810002,12.22
0.01,8.309999,11.989999
0.01,-16.550002,10.400001
0.01,-40.549999,6.62
0.01,57.079997,8.969999
0.01,32.600001,12.179999
0.01,8.099999,11.979999
0.01,-16.749999,10.420001
0.01,-40.77,6.63
0.01,56.869993,8.93
0.01,32.39,12.190001
0.01,7.89,11.990001
0.01,-16.96,10.43
0.01,-40.989999,6.659999
0.01,56.66,8.910001
0.01,32.18,12.139999
0.01,7.67,11.969999
0.01,-17.169999,10.460001
0.01,-41.199997,6.7
0.01,56.449997,8.889999
0.01,31.99,12.130001
0.01,7.480001,11.980001
0.01,-17.38,10.47
0.01,-41.41,6.72
0.01,56.239999,8.86
0.01,31.759998,12.109999
0.01,7.259999,12
0.01,-17.589999,10.479999
0.01,-41.619999,6.749999
0.01,56.03,8.82
0.01,31.549995,12.08
0.01,7.05,11.989998
0.01,-17.799999,10.49
0.01,-41.829997,6.769999
0.01,55.820002,8.789998
0.01,31.360001,12.06
0.01,6.86,11.969999
0.01,-18.009998,10.519999
0.01,-42.050001,6.8
0.01,55.609999,8.769999
0.01,31.15,12
0.01,6.64,11.96
0.01,-18.209998,10.529999
0.01,-42.259999,6.83
0.01,55.400001,8.730001
0.01,30.949997,12.009999
0.01,6.43,11.98
0.01,-18.42,10.55
0.01,-42.470002,6.85
0.01,55.179997,8.700001
0.01,30.740002,11.989999
0.01,6.22,12
0.01,-18.630002,10.539999
0.01,-42.679996,6.88
0.01,54.969994,8.669998
0.01,30.529998,11.969999
0.01,6.020001,11.990001
0.01,-18.839999,10.57
0.01,-42.889999,6.899999
0.01,54.779997,8.64
0.01,30.320003,11.940001
0.01,5.83,12.009999
0.01,-19.04,10.560001
0.01,-43.100002,6.92
0.01,54.569999,8.6
0.01,30.109997,11.919999
0.01,5.6,12
0.01,-19.25,10.599999
0.01,-43.309995,6.959999
0.01,54.36,8.58
0.01,29.900001,11.880001
0.01,5.41,11.98
0.01,-19.459999,10.61
0.01,-43.519993,6.969999
0.01,54.149997,8.55
0.01,29.699999,11.88
0.01,5.19,11.980001
0.01,-19.649996,10.619999
0.01,-43.739997,7.01
0.01,53.939994,8.519999
0.01,29.489998,11.849999
0.01,5,11.990001
0.01,-19.87,10.579999
0.01,-43.969997,7.03
0.01,53.72,8.49
0.01,29.28,11.829998
0.01,4.77,11.989999
0.01,-20.09,10.65
0.01,-44.180005,7.05
0.01,53.529998,8.46
0.01,29.09,11.789999
0.01,4.57,12.010001
0.01,-20.289999,10.660001
0.01,-44.389998,7.08
0.01,53.32,8.419999
0.01,28.859998,11.770001
0.01,4.379999,11.94
0.01,-20.5,10.659999
0.01,-44.599996,7.11
0.01,53.110002,8.4
0.01,28.669999,11.750001
0.01,4.15,11.96
0.01,-20.689999,10.669999
0.01,-44.789998,7.12
0.01,52.899998,8.369999
0.01,28.45,11.729999
0.01,3.95,12
0.01,-20.919999,10.699997
0.01,-45.019998,7.159999
0.01,52.69,8.34
0.01,28.25,11.690001
0.01,3.739999,12
0.01,-21.129999,10.7
0.01,-45.229996,7.18
0.01,52.479997,8.31
0.01,28.030001,11.68
0.01,3.53,12.009999
0.01,-21.33,10.71
0.01,-45.439999,7.210001
0.01,52.259998,8.28
0.01,27.839997,11.65
0.01,3.33,12.010001
0.01,-21.54,10.740001
0.01,-45.649997,7.230001
0.01,52.05,8.24
0.01,27.630001,11.64
0.01,3.12,12.009999
0.01,-21.749999,10.740001
0.01,-45.870001,7.259999
0.01,51.840002,8.21
0.01,27.42,11.6
0.01,2.93,12.009999
